numero_permis,n_occurrences,is_suspect
1,15375,True
00/0000,3699,True
/,3580,True
00/00000,2372,True
0000000000,1942,True
00/0000000,1032,True
00/000000,1015,True
000000000,894,True
00000000,826,True
0000000,792,True
01/0000,637,True
0100000000,297,True
SANS CONDU,285,True
11/111111,284,True
01/2560,272,True
SANS COND,226,True
1111111,208,True
01/0000000,194,True
01/00000,193,True
12/2121,149,True
STATIONNE,149,True
01/010101,129,True
11111111,127,True
09/789654,105,True
11/1111111,93,True
01/115115,83,True
14/0001,74,True
01/000000,73,True
11/11111,61,True
01/365210,61,True
01/111111,59,True
11/1111,53,True
03/1256,47,True
01/2356987,46,True
01/3652410,40,True
NON FOURNI,38,True
02/23569,33,True
01/23569,33,True
0100000,32,True
02/0000,32,True
01/112112,31,True
09/123654,30,True
01/000001,30,True
01/235698,29,True
01/00001,28,True
01/11111,28,True
01/23654,27,True
01/22222,26,True
23/23924,26,True
15/022222,26,True
14/00001,25,True
01/236545,23,True
14/0000,23,True
01/222222,23,True
01/365241,22,True
24/7149,22,True
0 /00000,22,True
01/236541,21,True
15/125487,20,False
02/306157,20,False
01/340260,19,False
01/2222222,18,False
01/125463,18,False
19/003269,18,False
01/438604,17,False
01/0101,16,False
01/000111,16,False
12/0000001,16,False
EN STATION,16,False
14/ 0000,16,False
01/022222,16,False
01/219167,15,False
01/1254789,15,False
01/2365410,15,False
23/190933,15,False
01/326541,15,False
13/21722,15,False
01/236598,14,False
03/2222,14,False
01/1478596,14,False
01/124578,14,False
01/411719,14,False
03/5555,14,False
12/14863,14,False
12/003269,14,False
07/94752,14,False
04/24892,14,False
01/144580,14,False
06/31295,14,False
22/6912,14,False
00/434957,13,False
01/191307,13,False
23119083,13,False
03/134876,13,False
23/21366,13,False
00/00001,12,False
01/440601,12,False
17/6390,12,False
01/110110,12,False
01/169856,12,False
01/327233,12,False
02/280582,12,False
STATIONNÉ,12,False
23/57211,12,False
02/70473,12,False
22/113571,12,False
01/316188,12,False
22/40175,12,False
02/98392,12,False
01/394688,12,False
01/170922,12,False
22/123547,12,False
09/152323,11,False
12/21231,11,False
02/2456,11,False
01/309668,11,False
24/53485,11,False
15/20057,11,False
01/236589,11,False
24/90257,11,False
01/2356,11,False
24/69817,11,False
01/40977,11,False
11/27990,11,False
24/93167,11,False
01/2931,11,False
23/116870,11,False
23/41522,11,False
01/2356489,10,False
01010000,10,False
15/123456,10,False
01/99186,10,False
00/ 00000,10,False
10/0000001,10,False
0100001,10,False
01/492826,10,False
02/00000,10,False
01000000,10,False
01/1111111,10,False
12/2321,10,False
22/58557,10,False
01/428473,10,False
00/332346,10,False
111111111,10,False
01/266966,10,False
01/2236,10,False
12/36814,10,False
02/235698,10,False
02/172982,10,False
0101000,10,False
01/1111,10,False
23/96988,10,False
02/265283,10,False
01/294191,10,False
01/2222,10,False
23/13337,10,False
02/147280,10,False
01/455352,10,False
23/211322,10,False
02/284115,10,False
01/594604,10,False
02/170247,10,False
04/71161,10,False
02/146059,10,False
23/55036,10,False
23/146108,10,False
23/129411,10,False
01/407298,10,False
01/366036,10,False
02/190979,10,False
01/490114,10,False
02/73881,10,False
00/417688,10,False
00/458680,10,False
01/502942,10,False
09/142083,10,False
01/101659,10,False
22/77899,10,False
03/86323,10,False
01/13341,10,False
23/150237,10,False
02/7685,9,False
22/90762,9,False
01/333162,9,False
16/76512,9,False
10/33893,9,False
24/33995,9,False
01/442228,9,False
01/261924,9,False
23/30166,9,False
01/295674,9,False
01010101,9,False
00/333781,9,False
01/143932,9,False
24/6611,9,False
00/290526,9,False
04/54452,9,False
24/107797,9,False
09/82162,9,False
01/187149,9,False
22/8993,9,False
11/11744,9,False
11/1000000,9,False
00/121212,9,False
02/23659,9,False
01/210883,9,False
17/22848,9,False
02/68221,9,False
24/104906,9,False
01/473190,9,False
01/317428,9,False
02/124118,9,False
03/147378,9,False
22/65943,9,False
02/203164,9,False
00/325444,9,False
24/20111,9,False
01/442005,9,False
14/70227,9,False
01/347385,9,False
01/404642,9,False
23/81044,9,False
24/80664,9,False
22/115292,9,False
18/34882,9,False
02/247156,9,False
22/64345,9,False
02/83251,9,False
01/512280,9,False
01/485186,9,False
01/64826,9,False
01/436873,9,False
01/151120,9,False
01/255497,9,False
02/182984,9,False
01/191196,9,False
13/7405,9,False
01/415337,9,False
22/125386,9,False
03/200279,9,False
22/90957,9,False
01/12365,8,False
14/ 0001,8,False
02/193382,8,False
01/438151,8,False
01/118434,8,False
01/491050,8,False
01/125468,8,False
05/55568,8,False
02/89385,8,False
15/012548,8,False
01/89513,8,False
24/11306,8,False
00/ 0000,8,False
01000001,8,False
23/58917,8,False
06/34515,8,False
02/300449,8,False
15/44777,8,False
12/7640,8,False
03/1265,8,False
2325512,8,False
22/14408,8,False
23/22737,8,False
01/194946,8,False
09/111246,8,False
12/112112,8,False
00/456507,8,False
02/213854,8,False
01390710,8,False
16/26934,8,False
01/425996,8,False
23/74319,8,False
03/001245,8,False
22/89396,8,False
17/36888,8,False
01/236741,8,False
24/25376,8,False
23/29074,8,False
21/2558,8,False
21/007389,8,False
00/298229,8,False
22/37299,8,False
02/202088,8,False
01/123456,8,False
01/351833,8,False
01/350029,8,False
10/100000,8,False
02/2222,8,False
23/95523,8,False
00/145254,8,False
15/12458,8,False
08/45712,8,False
02/185727,8,False
22/29067,8,False
23/209272,8,False
01/550054,8,False
23/40436,8,False
01/235689,8,False
24/56987,8,False
01/202973,8,False
01/69062,8,False
08/2171,8,False
24/50015,8,False
08/74151,8,False
23/0166,8,False
01/547178,8,False
03/68490,8,False
01/206272,8,False
