numero_permis,n_occurrences,is_suspect
1,15375,True
00/0000,3699,True
/,3580,True
00/00000,2372,True
0000000000,1942,True
00/0000000,1032,True
00/000000,1015,True
000000000,894,True
00000000,826,True
0000000,792,True
01/0000,637,True
0100000000,297,True
SANS CONDU,285,True
11/111111,284,True
01/2560,272,True
SANS COND,226,True
1111111,208,True
01/0000000,194,True
01/00000,193,True
12/2121,149,True
STATIONNE,149,True
01/010101,129,True
11111111,127,True
09/789654,105,True
11/1111111,93,True
01/115115,83,True
14/0001,74,True
01/000000,73,True
11/11111,61,True
01/365210,61,True
01/111111,59,True
11/1111,53,True
03/1256,47,True
01/2356987,46,True
01/3652410,40,True
NON FOURNI,38,True
02/23569,33,True
01/23569,33,True
0100000,32,True
02/0000,32,True
01/112112,31,True
09/123654,30,True
01/000001,30,True
01/235698,29,True
01/00001,28,True
01/11111,28,True
01/23654,27,True
01/22222,26,True
23/23924,26,True
15/022222,26,True
14/00001,25,True
01/236545,23,True
14/0000,23,True
01/222222,23,True
01/365241,22,True
24/7149,22,True
0 /00000,22,True
01/236541,21,True
