geo_sk,geo_key,current_region,current_gouvernorat,current_localite,current_code_postal,approved_region,approved_gouvernorat,approved_delegation,approved_localite,approved_code_postal,approval_status,reviewer_comment,review_decision_rule,geo_audit_status,confidence_score,matched_source_field,matched_reference_key
4257,UNKNOWN|06101999|UNKNOWN|DENDEN|UNKNOWN,UNKNOWN,06101999,DENDEN,UNKNOWN,GRAND TUNIS,MANOUBA,MANOUBA,DENDEN,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|MANOUBA|MANOUBA|DENDEN|UNKNOWN
4262,UNKNOWN|1|TUNIS|TUNIS|UNKNOWN,TUNIS,1,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4263,UNKNOWN|1|UNKNOWN|TUNIS|UNKNOWN,UNKNOWN,1,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4264,UNKNOWN|1000|UNKNOWN|SIDI BOU ALI|UNKNOWN,UNKNOWN,1000,SIDI BOU ALI,UNKNOWN,CENTRE EST,SOUSSE,SIDI BOU ALI,SIDI BOU ALI,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,CENTRE EST|SOUSSE|SIDI BOU ALI|SIDI BOU ALI|UNKNOWN
4265,UNKNOWN|1000|UNKNOWN|TUNIS|UNKNOWN,UNKNOWN,1000,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4267,UNKNOWN|1001|TUNIS|TUNIS|UNKNOWN,TUNIS,1001,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4268,UNKNOWN|1001|UNKNOWN|TUNIS|UNKNOWN,UNKNOWN,1001,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4274,UNKNOWN|1053|TUNIS|TUNIS|UNKNOWN,TUNIS,1053,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4276,UNKNOWN|1053|UNKNOWN|TUNIS|UNKNOWN,UNKNOWN,1053,TUNIS,UNKNOWN,GRAND TUNIS,TUNIS,TUNIS,TUNIS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|TUNIS|TUNIS|TUNIS|UNKNOWN
4280,UNKNOWN|13072011|UNKNOWN|BEN AROUS|UNKNOWN,UNKNOWN,13072011,BEN AROUS,UNKNOWN,GRAND TUNIS,BEN AROUS,BEN AROUS,BEN AROUS,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.97,localite,GRAND TUNIS|BEN AROUS|BEN AROUS|BEN AROUS|UNKNOWN
4284,UNKNOWN|2000|UNKNOWN|BARDO|UNKNOWN,UNKNOWN,2000,BARDO,UNKNOWN,GRAND TUNIS,TUNIS,LE BARDO,LE BARDO,UNKNOWN,APPROVED,Approved by conservative geo review: high-confidence localite-based reference match; no source/reference conflict.,AUTO_SAFE_LOCALITE_MATCH_CONF_GE_095,CORRECTION_CANDIDATE,0.95,localite,GRAND TUNIS|TUNIS|LE BARDO|LE BARDO|UNKNOWN
