geo_sk,geo_key,approval_status,approved_region,approved_gouvernorat,approved_localite,approved_code_postal,correction_type,correction_reason,candidate_summary
1095,TUNISIE|SOUSSE|CENTRE EST|SIDI BOU ALI|UNKNOWN,APPROVED,CENTRE EST,SOUSSE,SIDI BOU ALI,4040,APPROVED_FILL_GOV_LOCALITE,unique postal reference match,SOUSSE/SIDI BOU ALI/SIDI BOU ALI/SIDI BOU ALI/4040
1490,UNKNOWN|UNKNOWN|UNKNOWN|AGBA|UNKNOWN,APPROVED,CENTRE EST,MAHDIA,AGBA,5113,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,MAHDIA/HBIRA/AGBA/AGBA/5113
1494,UNKNOWN|UNKNOWN|UNKNOWN|AIN CHARFI|UNKNOWN,APPROVED,CENTRE EST,SFAX,AIN CHARFI,3000,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,SFAX/SFAX VILLE/AIN CHARFI/AIN CHARFI/3000
1498,UNKNOWN|UNKNOWN|UNKNOWN|AIN KEMICHA|UNKNOWN,APPROVED,NORD EST,NABEUL,AIN KEMICHA,8000,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,NABEUL/NABEUL/AIN KEMICHA/AIN KEMICHA/8000
1511,UNKNOWN|UNKNOWN|UNKNOWN|AMRA NOUVELLE|UNKNOWN,APPROVED,SUD EST,MEDENINE,AMRA NOUVELLE,4100,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,MEDENINE/MEDENINE SUD/AMRA NOUVELLE/AMRA NOUVELLE/4100
1519,UNKNOWN|UNKNOWN|UNKNOWN|ARRAM|UNKNOWN,APPROVED,SUD EST,GABES,ARRAM,6016,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,GABES/MARETH/ARRAM/ARRAM/6016
1541,UNKNOWN|UNKNOWN|UNKNOWN|AZMOUR|UNKNOWN,APPROVED,NORD EST,NABEUL,AZMOUR,8035,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,NABEUL/KELIBIA/AZMOUR/AZMOUR/8035
1545,UNKNOWN|UNKNOWN|UNKNOWN|BAB ALIOUA|UNKNOWN,APPROVED,GRAND TUNIS,TUNIS,BAB ALIOUA,1089,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,TUNIS/SIDI EL BECHIR/BAB ALIOUA/BAB ALIOUA/1089
1555,UNKNOWN|UNKNOWN|UNKNOWN|BAB SAADOUN|UNKNOWN,APPROVED,GRAND TUNIS,TUNIS,BAB SAADOUN,1029,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,TUNIS/BAB SOUIKA/BAB SAADOUN/BAB SAADOUN/1029
1560,UNKNOWN|UNKNOWN|UNKNOWN|BAHRA|UNKNOWN,APPROVED,NORD OUEST,KEF,BAHRA,7116,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,KEF/LE KEF EST/BAHRA/BAHRA/7116
1571,UNKNOWN|UNKNOWN|UNKNOWN|BARRAKET ESSAHEL|UNKNOWN,APPROVED,NORD EST,NABEUL,BARRAKET ESSAHEL,8056,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,NABEUL/HAMMAMET/BARRAKET ESSAHEL/BARRAKET ESSAHEL/8056
1573,UNKNOWN|UNKNOWN|UNKNOWN|BAZINA|UNKNOWN,APPROVED,NORD EST,BIZERTE,BAZINA,7012,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,BIZERTE/JOUMINE/BAZINA/BAZINA/7012
1588,UNKNOWN|UNKNOWN|UNKNOWN|BELLI|UNKNOWN,APPROVED,NORD EST,NABEUL,BELLI,8022,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,NABEUL/BOU ARGOUB/BELLI/BELLI/8022
1595,UNKNOWN|UNKNOWN|UNKNOWN|BEN OUN|UNKNOWN,APPROVED,CENTRE OUEST,SIDI BOUZID,BEN OUN,9120,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,SIDI BOUZID/BEN OUN/BEN OUN/BEN OUN/9120
1596,UNKNOWN|UNKNOWN|UNKNOWN|BENI HASSEN|UNKNOWN,APPROVED,CENTRE EST,MONASTIR,BENI HASSEN,5014,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,MONASTIR/BENI HASSEN/BENI HASSEN/BENI HASSEN/5014
1601,UNKNOWN|UNKNOWN|UNKNOWN|BENNANE|UNKNOWN,APPROVED,CENTRE EST,MONASTIR,BENNANE,5025,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,MONASTIR/KSIBET EL MEDIOUNI/BENNANE/BENNANE/5025
1602,UNKNOWN|UNKNOWN|UNKNOWN|BERGE DU LAC|UNKNOWN,APPROVED,GRAND TUNIS,TUNIS,BERGE DU LAC,1053,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,TUNIS/LA MARSA/BERGE DU LAC/BERGE DU LAC/1053
1605,UNKNOWN|UNKNOWN|UNKNOWN|BIR ALI BEN KHELIFA|UNKNOWN,APPROVED,CENTRE EST,SFAX,BIR ALI BEN KHELIFA,3040,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,SFAX/BIR ALI BEN KHELIFA/BIR ALI BEN KHELIFA/BIR ALI BEN KHELIFA/3040
1610,UNKNOWN|UNKNOWN|UNKNOWN|BIR BOUREGBA|UNKNOWN,APPROVED,NORD EST,NABEUL,BIR BOUREGBA,8042,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,NABEUL/HAMMAMET/BIR BOUREGBA/BIR BOUREGBA/8042
1612,UNKNOWN|UNKNOWN|UNKNOWN|BIR CHAOUCH|UNKNOWN,APPROVED,NORD EST,ZAGHOUAN,BIR CHAOUCH,1163,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,ZAGHOUAN/ENNADHOUR/BIR CHAOUCH/BIR CHAOUCH/1163
1614,UNKNOWN|UNKNOWN|UNKNOWN|BIR DRASSEN|UNKNOWN,APPROVED,NORD EST,NABEUL,BIR DRASSEN,8014,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,NABEUL/BENI KHALLED/BIR DRASSEN/BIR DRASSEN/8014
1618,UNKNOWN|UNKNOWN|UNKNOWN|BIR EL HAFFEY|UNKNOWN,APPROVED,CENTRE OUEST,SIDI BOUZID,BIR EL HAFFEY,9113,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,SIDI BOUZID/BIR EL HAFFEY/BIR EL HAFFEY/BIR EL HAFFEY/9113
1620,UNKNOWN|UNKNOWN|UNKNOWN|BIR EL KASSAA|UNKNOWN,APPROVED,GRAND TUNIS,BEN AROUS,BIR EL KASSAA,2059,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,BEN AROUS/EL MOUROUJ/BIR EL KASSAA/BIR EL KASSAA/2059
1624,UNKNOWN|UNKNOWN|UNKNOWN|BIRINE|UNKNOWN,APPROVED,GRAND TUNIS,TUNIS,BIRINE,1095,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,TUNIS/SIDI HASSINE/BIRINE/BIRINE/1095
1639,UNKNOWN|UNKNOWN|UNKNOWN|BORJ CEDRIA|UNKNOWN,APPROVED,GRAND TUNIS,BEN AROUS,BORJ CEDRIA,2084,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,BEN AROUS/HAMMAM CHATT/BORJ CEDRIA/BORJ CEDRIA/2084
1640,UNKNOWN|UNKNOWN|UNKNOWN|BORJ CHAKIR|UNKNOWN,APPROVED,GRAND TUNIS,TUNIS,BORJ CHAKIR,1095,APPROVED_FILL_GLOBAL_LOCALITE,unique postal reference match,TUNIS/SIDI HASSINE/BORJ CHAKIR/BORJ CHAKIR/1095
