code_postal,bureau_postal,localite,delegation,gouvernorat,region,aliases,source,confidence
2080,ARIANA,ARIANA,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2027,BORJ EL BACCOUCHE,BORJ EL BACCOUCHE,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2037,CENTRE COMMERCIAL IKRAM,CENTRE COMMERCIAL IKRAM,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2091,CITE BELVEDERE 2,CITE BELVEDERE 2,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,CITE BORJ TURKI 1,CITE BORJ TURKI 1,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,CITE BORJ TURKI 2,CITE BORJ TURKI 2,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,CITE DE LA SANTE,CITE DE LA SANTE,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2080,CITE DES ROSES,CITE DES ROSES,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2080,CITE DU JARDIN,CITE DU JARDIN,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2080,CITE DU PRINTEMPS,CITE DU PRINTEMPS,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2091,CITE DU SOLEIL,CITE DU SOLEIL,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2091,CITE EL INTISSAR 1,CITE EL INTISSAR 1,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2091,CITE EL INTISSAR 2,CITE EL INTISSAR 2,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2037,CITE ENNASR 1,CITE ENNASR 1,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2037,CITE ENNASR 2,CITE ENNASR 2,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2080,CITE ENNOUZHA,CITE ENNOUZHA,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2080,CITE JAAFAR,CITE JAAFAR,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2091,CITE JAMIL,CITE JAMIL,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,CITE KARIM,CITE KARIM,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,CITE MEHRZIA 1,CITE MEHRZIA 1,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2091,EL MENZAH 5,EL MENZAH 5,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2091,EL MENZAH 6,EL MENZAH 6,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2037,EL MENZAH 7,EL MENZAH 7,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2037,EL MENZAH 8,EL MENZAH 8,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2080,NOUVELLE ARIANA,NOUVELLE ARIANA,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,RESIDENCE EL OUNS,RESIDENCE EL OUNS,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,RESIDENCE IBN ZEIDOUN,RESIDENCE IBN ZEIDOUN,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,RESIDENCE ICHBILIA,RESIDENCE ICHBILIA,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,RESIDENCE KORTOBA,RESIDENCE KORTOBA,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2058,RIADH LANDLOUS,RIADH LANDLOUS,ARIANA VILLE,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE 18 JANVIER,CITE 18 JANVIER,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE BEN YERFES,CITE BEN YERFES,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE EL HOUDA,CITE EL HOUDA,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE ENNASSER,CITE ENNASSER,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE ETTADHAMEN,CITE ETTADHAMEN,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE ETTAYARENE,CITE ETTAYARENE,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE SFAR,CITE SFAR,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE SNIT 2,CITE SNIT 2,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2041,CITE SNIT NAGRA,CITE SNIT NAGRA,ETTADHAMEN,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2061,BORJ EL HADJ,BORJ EL HADJ,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2022,CITE BIR EL ARAIES,CITE BIR EL ARAIES,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2022,CITE DES MARTYRS,CITE DES MARTYRS,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2022,CITE EL FEJJA,CITE EL FEJJA,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2022,CITE EL MOUROUJ,CITE EL MOUROUJ,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2022,CITE EL OULJA,CITE EL OULJA,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2022,CITE ESSIBOUS,CITE ESSIBOUS,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2022,CITE TAREK IBN ZIED,CITE TAREK IBN ZIED,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2061,EL MISRA,EL MISRA,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
2032,EL NAHLI,EL NAHLI,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,,POSTE_TN_PUBLIC_LIST,HIGH
