code_postal,bureau_postal,localite,delegation,gouvernorat,region,pays,aliases,source,confidence
2020,,BEJAOUA 2,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE 18 JANVIER,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE AFH,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE DES ORANGES,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE EL GOUAZINE,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE EL MBARKA,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE EL MREZGUA,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE ESSAADA,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE ETTBAIEB,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE JARDINS,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,CITE MONGI SLIM,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2020,,SIDI THABET,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,CITE BIR EL ARAIES,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,CITE DES MARTYRS,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,CITE EL FEJJA,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,CITE EL MOUROUJ,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,CITE EL OULJA,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,CITE ESSIBOUS,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,CITE TAREK IBN ZIED,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2022,,KALAAT LANDLOUS,KALAAT LANDLOUS,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2027,,BORJ EL BACCOUCHE,ARIANA VILLE,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,BORJ EL KHOUKHA,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,BORJ YOUSSEF,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CEBALET BEN AMMAR,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CHORFECH 12,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE DRIDI,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE EL BOKRI,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE EL FRACHICH,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE EL GHRIBI,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE EL METHALITHE,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE MESSOUDA,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE OUVRIERE,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,CITE SIDI MAROUANE,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,EZZAOUIA,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,JABBES,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2032,,JABBES EL BORJ,SIDI THABET,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2035,,AEROPORT TUNIS CARTHAGE,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2035,,CHARGUIA 1,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2035,,CHARGUIA 2,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2035,,STATION MARCHANDISES FRET,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CHOTRANA 1,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CHOTRANA 2,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CHOTRANA 3,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE ASTREE,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE BELABLA,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE BEN HESSINE,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE CHOUACHIA,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE CHOUCHENE,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE DE L'AEROPORT,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE DE LA TERRE LIBRE,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE DES JUGES,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EL AZZEF,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EL BOUSTENE 1,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EL BOUSTENE 2,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EL HENAYA,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EL MAID,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE ELYES,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE ETTAAMIR,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EZZITOUN 1,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EZZITOUN 2,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
2036,,CITE EZZOUAIDIA,LA SOUKRA,ARIANA,GRAND TUNIS,TUNISIE,,KAGGLE_DIMREGION,HIGH
