localite,delegation,gouvernorat,region,code_postal,aliases,confidence
BOU MERDES,BOU MERDES,MAHDIA,CENTRE-EST,,BOU MERDES,HIGH
CHEBBA,CHEBBA,MAHDIA,CENTRE-EST,,CHEBBA,HIGH
CHORBANE,CHORBANE,MAHDIA,CENTRE-EST,,CHORBANE,HIGH
EL JEM,EL JEM,MAHDIA,CENTRE-EST,,EL JEM;EL DJEM,HIGH
HBIRA,HBIRA,MAHDIA,CENTRE-EST,,HBIRA,HIGH
KSOUR ESSAF,KSOUR ESSAF,MAHDIA,CENTRE-EST,,KSOUR ESSAF;KSOUR ESSEF,HIGH
EZZAHRA,MAHDIA,MAHDIA,CENTRE-EST,,EZZAHRA MAHDIA,HIGH
MAHDIA,MAHDIA,MAHDIA,CENTRE-EST,,MAHDIA,HIGH
MELLOULECH,MELLOULECH,MAHDIA,CENTRE-EST,,MELLOULECH,HIGH
OULED CHAMEKH,OULED CHAMEKH,MAHDIA,CENTRE-EST,,OULED CHAMEKH,HIGH
SIDI ALOUANE,SIDI ALOUANE,MAHDIA,CENTRE-EST,,SIDI ALOUANE,HIGH
SOUASSI,SOUASSI,MAHDIA,CENTRE-EST,,SOUASSI,HIGH
BEKALTA,BEKALTA,MONASTIR,CENTRE-EST,,BEKALTA,HIGH
BEMBLA,BEMBLA,MONASTIR,CENTRE-EST,,BEMBLA,HIGH
JEMMAL,JEMMAL,MONASTIR,CENTRE-EST,,JEMMAL;JEMMEL,HIGH
MENZEL ENOUR,JEMMAL,MONASTIR,CENTRE-EST,,MENZEL ENOUR;MENZEL ENNOUR,HIGH
KSAR HELLAL,KSAR HELLAL,MONASTIR,CENTRE-EST,,KSAR HELLAL,HIGH
KSIBET EL MEDIOUNI,KSIBET EL MEDIOUNI,MONASTIR,CENTRE-EST,,KSIBET EL MEDIOUNI,HIGH
MOKNINE,MOKNINE,MONASTIR,CENTRE-EST,,MOKNINE,HIGH
KHNISS,MONASTIR,MONASTIR,CENTRE-EST,,KHNISS,HIGH
MONASTIR,MONASTIR,MONASTIR,CENTRE-EST,,MONASTIR;MONASTIR VILLE,HIGH
OUERDANINE,OUERDANINE,MONASTIR,CENTRE-EST,,OUERDANINE,HIGH
SAHLINE,SAHLINE,MONASTIR,CENTRE-EST,,SAHLINE,HIGH
BOU HAJAR,SAYADA LAMTA BOU HAJAR,MONASTIR,CENTRE-EST,,BOU HAJAR,HIGH
LAMTA,SAYADA LAMTA BOU HAJAR,MONASTIR,CENTRE-EST,,LAMTA,HIGH
